## RECSRecommendations Upload File,,,,,,,,,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,,,,,,,,,,
## RECS,,,,,,,,,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,,,,,,,,,,
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.custom1,entity.custom2,entity.custom3,entity.custom4,entity.custom5,entity.custom6,entity.custom7,entity.custom8,entity.custom9,entity.custom10,...
Advanced Imaging Modalities,1688 AIM 4K Platform,Advanced Digital Healthcare,Advanced Digital Healthcare,https://raw.githubusercontent.com/Blueash3/target.github.io/main/Pharma%20Products/1688%20AIM%204K%20Platform.png,,http://localhost:4502/content/we-pharma/us/en/ADVANCED%20DIGITAL%20HEALTHCARE/ADVANCED%20IMAGING%20MODALITIES.html,,,,,,,,,,,,,
Blueprint,Blueprint 3D,Advanced Digital Healthcare,Advanced Digital Healthcare,https://raw.githubusercontent.com/Blueash3/target.github.io/main/Pharma%20Products/Blueprint%203D.png,,http://localhost:4502/content/we-pharma/us/en/ADVANCED%20DIGITAL%20HEALTHCARE/Blueprint.html,,,,,,,,,,,,,
Aesthetics,Colorado MicroDissection Needle,Orthopaedics,Orthopaedics,https://raw.githubusercontent.com/Blueash3/target.github.io/main/Pharma%20Products/Colorado%20MicroDissection%20Needle.PNG,,http://localhost:4502/content/we-pharma/us/en/ORTHOPAEDICS/Craniomaxillofacial/Aesthetics.html,,,,,,,,,,,,,
Ankle,Ortholoc 2 Ankle Fracture,Orthopaedics,Orthopaedics,https://raw.githubusercontent.com/Blueash3/target.github.io/main/Pharma%20Products/Ortholoc%202%20Ankle%20Fracture.png,,http://localhost:4502/content/we-pharma/us/en/ORTHOPAEDICS/Foot%20and%20Ankle/Ankle.html,,,,,,,,,,,,,
DirectInject,Direct Inject,NeuroTechnology,NeuroTechnology,https://raw.githubusercontent.com/Blueash3/target.github.io/main/Pharma%20Products/Direct%20Inject.png,,http://localhost:4502/content/we-pharma/us/en/NEUROTECHNOLOGY/Cranial/DirectInject.html,,,,,,,,,,,,,
Access,Distal Access Catheter,NeuroTechnology,NeuroTechnology,https://raw.githubusercontent.com/Blueash3/target.github.io/main/Pharma%20Products/Distal%20Access%20Catheter.png,,http://localhost:4502/content/we-pharma/us/en/NEUROTECHNOLOGY/Neurovascular/Access.html,,,,,,,,,,,,,
Orthognathic,Facial iD,Orthopaedics,Orthopaedics,https://raw.githubusercontent.com/Blueash3/target.github.io/main/Pharma%20Products/Facial%20iD.png,,http://localhost:4502/content/we-pharma/us/en/ORTHOPAEDICS/Craniomaxillofacial/Orthognathic.html,,,,,,,,,,,,,
 Forefoot,Hallux Valgus Correction,Orthopaedics,Orthopaedics,https://raw.githubusercontent.com/Blueash3/target.github.io/main/Pharma%20Products/Hallux%20Valgus%20Correction.png,,http://localhost:4502/content/we-pharma/us/en/ORTHOPAEDICS/Foot%20and%20Ankle/Forefoot.html,,,,,,,,,,,,,
Closure,Adherus AutoSpray and AAS ET,NeuroTechnology,NeuroTechnology,https://raw.githubusercontent.com/Blueash3/target.github.io/main/Pharma%20Products/Adherus%20AutoSpray%20and%20AAS%20ET.png,,http://localhost:4502/content/we-pharma/us/en/NEUROTECHNOLOGY/Cranial/Closure.html,,,,,,,,,,,,,
Angioplasty and stenting,Neuroform Atlas,NeuroTechnology,NeuroTechnology,https://raw.githubusercontent.com/Blueash3/target.github.io/main/Pharma%20Products/Neuroform%20Atlas.png,,http://localhost:4502/content/we-pharma/us/en/NEUROTECHNOLOGY/Neurovascular/Angioplasty%20and%20stenting.html,,,,,,,,,,,,,
